name,prompt,answer_or_status
贝姬频道（蒋伯驾对讲机加密频道）,"蒋伯驾对讲机有一个加密频道，名称：""贝姬""。本卡未给出接入方式/口令/频率。","未解——需在后续幕线索中寻找""贝姬""频道的接入方式或通话内容。"
船票编号（黛利拉红桃A）,"红桃A扑克牌牌面写""凭此船票，无限搭乘""；牌面上下角落有疑似编号小字。",未解（图像模糊，编号不可辨认）——需对照单独的《船票_纯图版.pdf》核对船票编号。
唱片编号顺序错位,"PDF 物理顺序对应唱片编号为 1,4,5,6,7,8,9,10,11,2,3（即编号2、3被排到全套最后）。这一错位疑为排序/装订密码，或需按真实编号1-11重排后读取某种隐藏信息。",未解。需结合现场实物排序确认编号是否构成密码序列。
曲名首字母链,"11张唱片英文曲名首字母——按唱片编号1→11顺序为：S(Stairway), I(I Know You Know), S(Screaming), F(Fool), M(Mama Said), W(Wish), S(Sister Moon), C(Chocolate), D(Don't Cry), S(Secret), M(Mountain)。疑可拼出藏头词或缩写。",未解。当前序列 S I S F M W S C D S M 未见明显词义；可能需按物理顺序或仅取带题注的卡。
题注三连指向,仅唱片9【奥丁】、唱片10【羌青瓷致程走柳】、唱片11【羌青瓷致程聿怀】带方括号题注。这三张可能为关键留言卡，其曲名/歌词组合疑指向人物关系或真凶。,部分解：唱片10红字台词为羌青瓷约程走柳私见；唱片11歌词指程聿怀为'伪装大师/满口谎言'。三卡整体寓意待联动其他线索确认。
唱片10红字手写台词,歌词页末尾红色手写：'走柳，等我离开房间，出来找我一下。'——为羌青瓷给程走柳的私下约见留言。,已转录（明确台词）。其'离开房间'指向命案现场时间线，待与不在场证明交叉验证。
诊疗记录卡编号 NO.xx xxxxx x,六张诊疗记录卡（程聿怀/缪宏谟/以撒/黛利拉/程走柳/蒋伯驾）底部均印有编号占位符 NO.xx xxxxx x，未填入实际数字/字母。,未填（占位符），无可解内容；非待解谜题，标注存疑以备核对其他幕是否给出真实编号
头部CT影像（六张卡贴附）,每张诊疗记录卡右上角贴附一张头部CT横断面影像（颅底层面）。是否暗含信息（如六张影像差异/拼合）尚不确定。,待解/视觉资产：纯图扫描，未见文字说明；建议比对六张CT是否存在差异或隐藏标记
治疗次数差异,五张卡为'第一次'，唯黛利拉为'第二次'。可能暗示黛利拉曾先行接受过一次治疗。,待考：本PDF未提供黛利拉第一次记录，疑指向其他线索文件
音频证据（程走柳录音笔）最后一句,录音/音频证据末句：「……莱诺家族，虚构新闻，残害记者、推动战争！」——指向莱诺家族以新闻挑动战争之罪。,明文证据，非待解谜。揭示 F701（莱诺家族虚构新闻、残害记者、推动战争）；为全场认罪的证人/物证支点。
瑞法·莱诺＝羌青瓷 同一性,剧本说话人署名在不同页交替使用「瑞法·莱诺」与「羌青瓷」，需确认是否同一人。,已判定为同一人（家主羌青瓷化名瑞法·莱诺）。F700。各版结尾蒋伯驾直呼「羌青瓷」并指其为「瑞法·莱诺」可佐证。
『圣女』来源链,诺族小女孩如何被造成布雷族『圣女』：程走柳（镜头/虚假新闻）+ 缪宏谟（摘除眼角膜致盲/人为造圣女）。,链式已闭合：缪宏谟摘角膜(F720)+程走柳造假新闻(F714)→人为塑造『圣女』(F702)。受莱诺家族指使。
布雷族军师『延迟』身份,程聿怀版自述其为帮助伯纳德·莱诺策划千禧年大屠杀〔?〕的布雷族军师『延迟』。,明文披露：程聿怀＝军师『延迟』(F709)。其中『千禧年大屠杀』末字受烧焦边遮挡，标〔?〕，按上下文判为『屠杀』。
链式留言（神偷先生→杀手小姐）,三张红桃A卡构成一条'跟着沿途的留言找人'的引导链：起点为自我介绍卡（'我是神偷先生…跟着沿途的留言，你会找到我的~'，p4），中段为指引卡（'如果看到这里，就代表你已经按照指引来找我了…再往前走吧'，p3），终点为抵达卡（'就在这个房间里…进来与我见面吧!'，p2）。叙事阅读顺序与PDF物理页码相反（p4→p3→p2）。,已解：阅读/行进顺序为 自我介绍(p4) → 中途指引(p3) → 抵达房间(p2)；终点'房间'内可与神偷先生当面相见。中间是否还有未收录的留言节点未知。
镜像倒印戳记 SOMETHING FOR NOTHING,每张卡左下角的英文戳记'SOMETHING FOR NOTHING'为镜像倒印（需把卡片倒转才能正读），与右上角正向戳记相同。提示'注意镜像倒印文字'。,已解：倒印内容与正印一致，均为'SOMETHING FOR NOTHING'（意'不劳而获/空手套白狼'），呼应神偷先生'偷走独处时光'的设定；未发现隐藏的第二层信息。
封面/背景花字与印章,封面大标题艺术字为'ARCHEY'，底部篆刻花字为'流氓叙事'；正文卡背景淡黄印章水印依稀可辨'秀风探宴''行说'等字。,部分待定：'ARCHEY'疑为该作/剧目标识或拼写艺术化（待核）；背景水印字样被笔迹与底纹遮挡，'秀风探宴''行说'等辨认存疑，含义未明。
便签署名花押,便签04（页5）末尾的手写签名涂鸦，呈潦草符号/花押（形似'二夕'两笔），无法辨认为具体姓名。书写者身份需结合人物表判定——口吻为亲密好友/恋慕者，自称'我罩着你'。,未解：署名无法辨认；书写者身份待考（疑为对缪宏谟有挂念之情的密友）
莱诺家族归属,便签提及'该死的莱诺家族这么有钱'。已知线索体系中'瑞法·莱诺=羌青瓷'同姓莱诺。莱诺家族与缪宏谟一线的关系待考。,待核对：是否与羌青瓷(瑞法·莱诺)同一家族需建图确认
'你哥'指代,便签04称'你哥对你的照顾'，未具名。疑指缪宏谟兄长。,待解：'你哥'具体身份需与人物表核对（疑为缪姓兄长）
船票编号,登船凭证票面印「NO.00698742」,待解——8位编号，可能为后续线索对照码/钥匙；当前无独立解，状态：未解（待与主线交叉比对）
船票条形码数字,条形码下方印数字「123456789」,待解——疑似占位/顺序码（1-9），也可能为有效线索；状态：未解（待验证是否真实编码或装饰占位）
航行日期（CRUISE DATES）,票面 CRUISE DATES 印作占位符「XX-XX-XXXX」，日期空缺,待解——需依其他线索推定珠江夜游的具体航行日期；状态：未解
双人票乘客身份,「珠江夜游 双人票」，右联留有 MRS.\MR.、PASSENGER NAME、CABINE 三处空白待填,待解——双人票暗示两名同行角色，具体身份需与各幕剧本对照；状态：未解
谐音梗·一山不容二虎，二山得六,一山不容二虎，二山得六。,未确证：构造'二山=得六'的算术/字形玩笑，具体解法不明，本作为奥丁讲的冷笑话而非剧情解谜。
谐音梗·红豆泥,煮豆燃豆萁，豆说：'红豆泥？',已解：'红豆泥'=日语「本当に」(hontoni，'真的吗')。
谐音梗·点滴,我去医院打针，一直在笑，因为我笑'点滴'。,已解：'笑点滴'谐'笑点低'。
谐音梗·孤的胜孤的败,皇上对文武百官说：'孤的胜你们有目共睹，孤的败…'说完他就走了。,已解：'孤的胜/孤的败'谐英语 good 胜(good win)/good bye；伏笔'葬礼上讲笑话'呼应末页托付。
路口序列（第一→第二→最后/第三→不止于此）,约会信以四封递进：第一个路口（饮酒+甜品店黄油多士）→第二个路口（昏巷/沙面岛/世纪转塔/珠江/轮渡）→最后一个路口（百年钟楼楼下小窗口排队）→不止于此（手工作品店·牙齿手链）。封面幕号为 第一幕/第二幕/第三幕/第六幕，跳过第四、第五幕。,待解/存疑：幕号为何由第三幕直接跳到第六幕（第四五幕缺失）？是寄信人省略，还是本素材抽取自更大套系？需与全案档案比对幕结构。地理坐标（沙面岛/世纪转塔/百年钟楼/珠江轮渡）疑指广州，可作实景比对。
牙齿手链来源（南来尸体）,第八页坦白：在新开的『一手工作品店』做了一条『两只牙齿做的手链』，牙齿『来自在不南正曾经〔场?〕过的尸体』。寄信人欲送程走柳一条作『同生共死的证据』。,部分待解：『不南』疑为人名『南来』倒写或误写；动词『做/捡/取』、『场/路过』数字处字迹潦草。需结合『南来』角色档案确认牙齿是否取自南来尸体。
寄信人身份（『不可信的鳄鱼』）,寄信人自承『在你心里，我曾是不可信的鳄鱼，但在你面前我愿意变成（变状?），就我所有的锋利绝对不会伤害你』。,待解：寄信人未署名；『鳄鱼』为隐喻（掠食者/危险者）。需在角色图中确定寄信人真实身份及其与程走柳的关系。
