card_id,title,act,related_chars,type,show_condition,difficulty,source_file,source_pages
C-序幕-00,封面海报（情风书说·浸探案）,序幕,,视觉资产,开场展示/装帧封面,易,Data/流氓叙事Origin/线索/序幕认罪现场_纯图版.pdf,1
C-序幕-01,第一位发言：蒋伯驾,序幕,蒋伯驾,明文,序幕认罪环节，作为第一位发言时出示,易,Data/流氓叙事Origin/线索/序幕认罪现场_纯图版.pdf,7
C-序幕-02,第二位发言：程走柳,序幕,程走柳,明文,序幕认罪环节，作为第二位发言时出示,易,Data/流氓叙事Origin/线索/序幕认罪现场_纯图版.pdf,4
C-序幕-03,第三位发言：以撒,序幕,以撒,明文,序幕认罪环节，作为第三位发言时出示,易,Data/流氓叙事Origin/线索/序幕认罪现场_纯图版.pdf,6
C-序幕-04,第四位发言：缪宏谟,序幕,缪宏谟,明文,序幕认罪环节，作为第四位发言时出示,易,Data/流氓叙事Origin/线索/序幕认罪现场_纯图版.pdf,7
C-序幕-05,第五位发言：黛利拉,序幕,黛利拉,明文,序幕认罪环节，作为第五位发言时出示,易,Data/流氓叙事Origin/线索/序幕认罪现场_纯图版.pdf,3
C-序幕-06,第六位发言：程聿怀,序幕,程聿怀,明文,序幕认罪环节，作为第六位发言时出示,易,Data/流氓叙事Origin/线索/序幕认罪现场_纯图版.pdf,2
C-第一幕-01,红桃A船票,第一幕,黛利拉,混合,第一幕发放给/绑定角色黛利拉的个人线索卡,易,Data/流氓叙事Origin/线索/第一幕个人线索_纯图版.pdf,5(卡号01)
C-第一幕-02,蝴蝶标本与蛇,第一幕,以撒,混合,第一幕发放给/绑定角色以撒的个人线索卡,易,Data/流氓叙事Origin/线索/第一幕个人线索_纯图版.pdf,2(卡号02)
C-第一幕-03,缪副院长的旧婚约,第一幕,缪宏谟,明文,第一幕发放给/绑定角色缪宏谟的个人线索卡,中,Data/流氓叙事Origin/线索/第一幕个人线索_纯图版.pdf,3(卡号03)
C-第一幕-04,东国广府的钥匙,第一幕,程走柳,混合,第一幕发放给/绑定角色程走柳的个人线索卡,易,Data/流氓叙事Origin/线索/第一幕个人线索_纯图版.pdf,6(卡号04)
C-第一幕-05,对讲机·加密频道贝姬,第一幕,蒋伯驾,混合,第一幕发放给/绑定角色蒋伯驾的个人线索卡,中,Data/流氓叙事Origin/线索/第一幕个人线索_纯图版.pdf,4(卡号05)
C-第一幕-06,青花瓷纹面与羌青瓷,第一幕,程聿怀;羌青瓷,明文,第一幕发放给/绑定角色程聿怀的个人线索卡,中,Data/流氓叙事Origin/线索/第一幕个人线索_纯图版.pdf,7(卡号06)
C-第三幕-唱片1,Stairway to Heaven（通往天堂的阶梯）— Led Zeppelin,第三幕,,明文,第三幕·唱片线索（唱片编号1）,易,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第三幕歌词卡_纯图版.pdf,1-2
C-第三幕-唱片2,"I Know, You Know — Gotthard",第三幕,,明文,第三幕·唱片线索（唱片编号2）,易,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第三幕歌词卡_纯图版.pdf,19-20
C-第三幕-唱片3,Screaming in the Night — Krokus,第三幕,,明文,第三幕·唱片线索（唱片编号3）,易,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第三幕歌词卡_纯图版.pdf,21-22
C-第三幕-唱片4,Fool for Your Loving（爱的傻瓜）— Whitesnake,第三幕,,明文,第三幕·唱片线索（唱片编号4）,易,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第三幕歌词卡_纯图版.pdf,3-4
C-第三幕-唱片5,Mama Said（妈妈说）— Metallica,第三幕,,明文,第三幕·唱片线索（唱片编号5）,易,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第三幕歌词卡_纯图版.pdf,5-6
C-第三幕-唱片6,Wish You Were Here（希望你在这里）— Pink Floyd,第三幕,,明文,第三幕·唱片线索（唱片编号6）,易,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第三幕歌词卡_纯图版.pdf,7-8
C-第三幕-唱片7,Sister Moon（月亮姐姐）— Gotthard,第三幕,,明文,第三幕·唱片线索（唱片编号7）,易,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第三幕歌词卡_纯图版.pdf,9-10
C-第三幕-唱片8,Chocolate Drops（巧克力粒）— Iggy Pop,第三幕,,明文,第三幕·唱片线索（唱片编号8）,易,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第三幕歌词卡_纯图版.pdf,11-12
C-第三幕-唱片9,Don't Cry（别哭）— Guns N' Roses【题注：奥丁】,第三幕,奥丁,混合,第三幕·唱片线索（唱片编号9，封面题注「奥丁」）,中,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第三幕歌词卡_纯图版.pdf,13-14
C-第三幕-唱片10,Secret（秘密）— Yanni【题注：羌青瓷致程走柳】,第三幕,羌青瓷（=瑞法·莱诺）;程走柳,混合,第三幕·唱片线索（唱片编号10，封面题注「羌青瓷致程走柳」；歌词页末附红字手写台词）,中,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第三幕歌词卡_纯图版.pdf,15-16
C-第三幕-唱片11,Mountain Mama（山岳母亲）— Gotthard【题注：羌青瓷致程聿怀】,第三幕,羌青瓷（=瑞法·莱诺）;程聿怀（=程雨怀）,混合,第三幕·唱片线索（唱片编号11，封面题注「羌青瓷致程聿怀」）,中,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第三幕歌词卡_纯图版.pdf,17-18
